Rama de la Entidad;Sector de la Entidad;Entidad;Proveedor;Agregacion;Ciudad;Total
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;Arios Colombia S.A.S.;Aseo y Cafetería II;Bogotá;46325885
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;COLOMBIANA DE COMERCIO S.A Y/O ALKOSTO S.A;Grandes Superficies;Bogotá;29091000
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;CONALCREDITOS  CONALCENTER BPO;Centro de contacto;Bogotá;3119559592
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;CONALCREDITOS  CONALCENTER BPO;Servicios BPO;Bogotá;10457419419
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;CONSERJES INMOBILIARIOS LTDA;Aseo y Cafetería II;Bogotá;41644345
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;Controles Empresariales S.A.S.;Microsoft II;Bogotá;1659822791
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;Controles Empresariales S.A.S.;Microsoft;Bogotá;517220840
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;Crear de Colombia S.A.S.;Consumibles de Impresión;Bogotá;2167259
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;Dispapeles S.A.S.;Derivados del papel carton y corrugado;Bogotá;120949423
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;EASYCLEAN G&E S.A.S;Aseo y Cafetería II;Bogotá;1223638590
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;ESRI COLOMBIA SAS;ArcGIS;Bogotá;1810000000
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;Falabella de Colombia S.A.;Grandes Superficies;Bogotá;11130000
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;IFX Networks Colombia SAS;Conectividad II;Bogotá;164718524
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;Institucional Star Services Ltda.;Papelería y útiles de oficina II;Bogotá;185991641
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;La Previsora S.A.;Seguros de Vehículos;Bogotá;16534013
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;La Previsora S.A.;SOAT II;Bogotá;2526347
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;LADOINSA LABORES DOTACIONES INDUSTRIALES S.A.S;Aseo y Cafetería II;Bogotá;901550601
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;MAKRO SUPERMAYORISTA S.A.S;Grandes Superficies;Bogotá;13380250
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;Media Commerce Partners SAS;Conectividad II;Bogotá;154345882
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;MR CLEAN S.A.;Aseo y Cafetería II;Bogotá;260684983
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;Oficomco S.A.S.;Adquisición de Computadores y Periféricos;Bogotá;185345933
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;Oracle Colombia Ltda;Servicios Oracle;Bogotá;37035055
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;Organización Terpel S.A.;Combustible (Bogotá) II;Bogotá;90000000
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;P&P Systems Colombia S.A.S.;Adquisición de Computadores y Periféricos;Bogotá;102056326
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;PANAMERICANA LIBRERÍA Y PAPELERÍA S.A.;Grandes Superficies;Bogotá;346358669
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;Redcomputo Ltda.;Adquisición de Computadores y Periféricos;Bogotá;689003067
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;RENTACOMPUTO S.A.;Arriendo ETP;Bogotá;439245120
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;Seguros Generales Suramericana S.A.;SOAT II;Bogotá;2068514
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;SERVIASEO S.A;Aseo y Cafetería II;Bogotá;363264325
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;SERVICIO INTEGRAL TALENTOS LTDA;Aseo y Cafetería II;Bogotá;26597606
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;Sistetronics Ltda.;Adquisición de Computadores y Periféricos;Bogotá;930351258
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;Subatours S.A.S.;Tiquetes Aéreos;Bogotá;4884165439
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;Sumimas S.A.S.;Consumibles de Impresión;Bogotá;87987104
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;Sumimas S.A.S.;Papelería y útiles de oficina II;Bogotá;154674197
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;UNION TEMPORAL ASEO COLOMBIA;Aseo y Cafetería II;Bogotá;79674435
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;Uniples S.A.;Adquisición de Computadores y Periféricos;Bogotá;108140129
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;Uniples S.A.;Consumibles de Impresión;Bogotá;3829573
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;UT Soft-IG;Microsoft;Bogotá;498574995
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;UT Soluciones Microsoft 2017;Microsoft II;Bogotá;522255701
Ejecutiva;Agricultura y Desarrollo Rural;AGENCIA NACIONAL DE TIERRAS;Viaja por el Mundo Web Nickisix 360 S.A.S.;Tiquetes Aéreos II;Bogotá;1393997689
Ejecutiva;Agricultura y Desarrollo Rural;BOGOTA D.C-AGENCIA DE DESARROLLO RURAL;Aeroviajes Pacifico de Bogotá S.A.;Tiquetes Aéreos II;Bogotá;1253216972
Ejecutiva;Agricultura y Desarrollo Rural;BOGOTA D.C-AGENCIA DE DESARROLLO RURAL;ASEOS COLOMBIANOS ASEOCOLBA S.A;Aseo y Cafetería II;Bogotá;274618656
Ejecutiva;Agricultura y Desarrollo Rural;BOGOTA D.C-AGENCIA DE DESARROLLO RURAL;Banco AV Villas S.A.;IAD Servicios Financieros II;Bogotá;0
Ejecutiva;Agricultura y Desarrollo Rural;BOGOTA D.C-AGENCIA DE DESARROLLO RURAL;BANCO POPULAR S.A.;IAD Servicios Financieros II;Bogotá;0
Ejecutiva;Agricultura y Desarrollo Rural;BOGOTA D.C-AGENCIA DE DESARROLLO RURAL;CenturyLink Colombia S.A.;Nube Privada II;Bogotá;1642359
Ejecutiva;Agricultura y Desarrollo Rural;BOGOTA D.C-AGENCIA DE DESARROLLO RURAL;CLEANER S.A.;Aseo y Cafetería II;Bogotá;73758984
Ejecutiva;Agricultura y Desarrollo Rural;BOGOTA D.C-AGENCIA DE DESARROLLO RURAL;Computel System S.A.S.;Arriendo ETP;Bogotá;326414316
Ejecutiva;Agricultura y Desarrollo Rural;BOGOTA D.C-AGENCIA DE DESARROLLO RURAL;CONSERJES INMOBILIARIOS LTDA;Aseo y Cafetería II;Bogotá;50519799
Ejecutiva;Agricultura y Desarrollo Rural;BOGOTA D.C-AGENCIA DE DESARROLLO RURAL;Dell Colombia INC;Microsoft II;Bogotá;128818928
Ejecutiva;Agricultura y Desarrollo Rural;BOGOTA D.C-AGENCIA DE DESARROLLO RURAL;DIGITOS Y DISEÑOS INDUSTRIA GRÁFICA S.A.S;Servicios de Impresión;Bogotá;60088526
Ejecutiva;Agricultura y Desarrollo Rural;BOGOTA D.C-AGENCIA DE DESARROLLO RURAL;ESRI COLOMBIA SAS;ArcGIS;Bogotá;98448153
Ejecutiva;Agricultura y Desarrollo Rural;BOGOTA D.C-AGENCIA DE DESARROLLO RURAL;La Previsora S.A.;Seguros de Vehículos;Bogotá;12437642
Ejecutiva;Agricultura y Desarrollo Rural;BOGOTA D.C-AGENCIA DE DESARROLLO RURAL;LADOINSA LABORES DOTACIONES INDUSTRIALES S.A.S;Aseo y Cafetería II;Bogotá;178876908
Ejecutiva;Agricultura y Desarrollo Rural;BOGOTA D.C-AGENCIA DE DESARROLLO RURAL;Media Commerce Partners SAS;Conectividad II;Bogotá;638798219
Ejecutiva;Agricultura y Desarrollo Rural;BOGOTA D.C-AGENCIA DE DESARROLLO RURAL;MR CLEAN S.A.;Aseo y Cafetería II;Bogotá;187513060
Ejecutiva;Agricultura y Desarrollo Rural;BOGOTA D.C-AGENCIA DE DESARROLLO RURAL;Oracle Colombia Ltda;Servicios Oracle;Bogotá;31883660
Ejecutiva;Agricultura y Desarrollo Rural;BOGOTA D.C-AGENCIA DE DESARROLLO RURAL;Organización Terpel S.A.;Combustible (Bogotá) II;Bogotá;42373276
Ejecutiva;Agricultura y Desarrollo Rural;BOGOTA D.C-AGENCIA DE DESARROLLO RURAL;PANAMERICANA LIBRERÍA Y PAPELERÍA S.A.;Grandes Superficies;Bogotá;79099673
Ejecutiva;Agricultura y Desarrollo Rural;BOGOTA D.C-AGENCIA DE DESARROLLO RURAL;PC COM S.A.;Arriendo ETP;Bogotá;187133450
Ejecutiva;Agricultura y Desarrollo Rural;BOGOTA D.C-AGENCIA DE DESARROLLO RURAL;Productos de Seguridad S.A (Prodeseg);Elementos para Emergencias;Bogotá;49395017
Ejecutiva;Agricultura y Desarrollo Rural;BOGOTA D.C-AGENCIA DE DESARROLLO RURAL;QBE SEGUROS S.A;SOAT II;Bogotá;2182814
Ejecutiva;Agricultura y Desarrollo Rural;BOGOTA D.C-AGENCIA DE DESARROLLO RURAL;Redcomputo Ltda.;Adquisición de Computadores y Periféricos;Bogotá;555598799
Ejecutiva;Agricultura y Desarrollo Rural;BOGOTA D.C-AGENCIA DE DESARROLLO RURAL;Seguros Generales Suramericana S.A.;SOAT II;Bogotá;601911
Ejecutiva;Agricultura y Desarrollo Rural;BOGOTA D.C-AGENCIA DE DESARROLLO RURAL;Selcomp Ingeniería S.A.S.;Adquisición de Computadores y Periféricos;Bogotá;20116365
Ejecutiva;Agricultura y Desarrollo Rural;BOGOTA D.C-AGENCIA DE DESARROLLO RURAL;SERVIASEO S.A;Aseo y Cafetería II;Bogotá;41905255
Ejecutiva;Agricultura y Desarrollo Rural;BOGOTA D.C-AGENCIA DE DESARROLLO RURAL;Servicio Aéreo a Territorios Nacionales S.A.;Tiquetes Aéreos;Bogotá;1723976686
Ejecutiva;Agricultura y Desarrollo Rural;BOGOTA D.C-AGENCIA DE DESARROLLO RURAL;SERVIESPECIALES S.A.S;Aseo y Cafetería II;Bogotá;34799840
Ejecutiva;Agricultura y Desarrollo Rural;BOGOTA D.C-AGENCIA DE DESARROLLO RURAL;Subatours S.A.S.;Tiquetes Aéreos;Bogotá;478750000
Ejecutiva;Agricultura y Desarrollo Rural;BOGOTA D.C-AGENCIA DE DESARROLLO RURAL;UNION TEMPORAL ASEO COLOMBIA;Aseo y Cafetería II;Bogotá;145333309
Ejecutiva;Agricultura y Desarrollo Rural;BOGOTA D.C-AGENCIA DE DESARROLLO RURAL;UNION TEMPORAL EMINSER - SOLOASEO 2016;Aseo y Cafetería II;Bogotá;319156374
Ejecutiva;Agricultura y Desarrollo Rural;BOGOTA D.C-AGENCIA DE DESARROLLO RURAL;Unión Temporal Novatours  Vision Tours 04-2015;Tiquetes Aéreos;Bogotá;1716996100
Ejecutiva;Agricultura y Desarrollo Rural;BOGOTA D.C-AGENCIA DE DESARROLLO RURAL;Unión Temporal Toyonorte Ltda.  Distribuidora Toyota S.A.S.;Vehículos II;Bogotá;161401310
Ejecutiva;Agricultura y Desarrollo Rural;BOGOTA D.C-AGENCIA DE DESARROLLO RURAL;Unión Temporal VISS-102-2016;Papelería y útiles de oficina II;Bogotá;323641919
Ejecutiva;Agricultura y Desarrollo Rural;BOGOTA D.C-AGENCIA DE DESARROLLO RURAL;UT Soft-IG;Microsoft II;Bogotá;486326302
Ejecutiva;Agricultura y Desarrollo Rural;BOGOTA D.C-AGENCIA DE DESARROLLO RURAL;UT Soft-IG;Microsoft;Bogotá;675797664
Ejecutiva;Agricultura y Desarrollo Rural;BOGOTA D.C-AGENCIA DE DESARROLLO RURAL;UT Soluciones Microsoft 2017;Microsoft II;Bogotá;316596421
Ejecutiva;Agricultura y Desarrollo Rural;CONSORCIO ALIANZA POPULAR - MADR;Subatours S.A.S.;Tiquetes Aéreos;Bogotá;478401648
Ejecutiva;Agricultura y Desarrollo Rural;CONSORCIO ALIANZA POPULAR - MADR;Viaja por el Mundo Web Nickisix 360 S.A.S.;Tiquetes Aéreos II;Bogotá;350000000
Ejecutiva;Agricultura y Desarrollo Rural;CUNDINAMARCA-SECRETARÍA DE AGRICULTURA Y DESARROLLO RURAL;Autotécnica Colombiana S.A.S.;Motocicletas, Cuatrimotos y Motocarros;Bogotá;305956188
Ejecutiva;Agricultura y Desarrollo Rural;CUNDINAMARCA-SECRETARÍA DE AGRICULTURA Y DESARROLLO RURAL;Dell Colombia INC;Microsoft II;Bogotá;78421204
Ejecutiva;Agricultura y Desarrollo Rural;CUNDINAMARCA-SECRETARÍA DE AGRICULTURA Y DESARROLLO RURAL;Incolmotos Yamaha S.A.;Motocicletas, Cuatrimotos y Motocarros;Bogotá;179957657
Ejecutiva;Agricultura y Desarrollo Rural;CUNDINAMARCA-SECRETARÍA DE AGRICULTURA Y DESARROLLO RURAL;Sistetronics Ltda.;Adquisición de Computadores y Periféricos;Bogotá;192241336
Ejecutiva;Agricultura y Desarrollo Rural;FONDO PARA EL FINANCIAMIENTO DEL SECTOR AGROPECUARIO;ESRI COLOMBIA SAS;ArcGIS;Bogotá;69205161
Ejecutiva;Agricultura y Desarrollo Rural;FONDO PARA EL FINANCIAMIENTO DEL SECTOR AGROPECUARIO;Oracle Colombia Ltda;Servicios Oracle;Bogotá;182776221
Ejecutiva;Agricultura y Desarrollo Rural;GRAN CENTRAL DE ABASTOS DEL CARIBE S.A.;La Previsora S.A.;SOAT;Soledad;1088403
Ejecutiva;Agricultura y Desarrollo Rural;GRAN CENTRAL DE ABASTOS DEL CARIBE S.A.;Seguros Generales Suramericana S.A.;SOAT;Soledad;783856
Ejecutiva;Agricultura y Desarrollo Rural;INCODER - DT ARAUCA;Unión Temporal Eminser-Soloaseo;Aseo y Cafetería;Arauca;8293668
Ejecutiva;Agricultura y Desarrollo Rural;INCODER - DT CAQUETA;Unión Temporal Servi-Incol;Aseo y Cafetería;Florencia;16644262
Ejecutiva;Agricultura y Desarrollo Rural;INCODER - DT QUINDIO;Organización Terpel S.A.;Combustible (Nacional);Armenia;3000000
Ejecutiva;Agricultura y Desarrollo Rural;INCODER - DT QUINDIO;Unión Temporal CCEficiente;Aseo y Cafetería;Armenia;10586513
Ejecutiva;Agricultura y Desarrollo Rural;INCODER - DT QUINDIO;Unión Temporal Seiso - Serconal;Aseo y Cafetería;Armenia;3774809
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Agencia de Viajes y Turismo Goldtour S.A.S.;Tiquetes Aéreos;Bogotá;2249999999
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Alianza Estratégica Outsourcing & Suministros S.A.S.;Consumibles de Impresión;Bogotá;3270266
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Arios Colombia S.A.S.;Aseo y Cafetería II;Bogotá;35090189
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Aseguradora Solidaria de Colombia LTDA;SOAT;Bogotá;285208627
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);ASEOS COLOMBIANOS ASEOCOLBA S.A;Aseo y Cafetería II;Bogotá;782474716
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);ASEOVIL LTDA;Aseo y Cafetería II;Bogotá;39359842
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);CENCOSUD COLOMBIA S.A.;Grandes Superficies;Bogotá;3147698
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Cesar Adolfo Moreno Ramos;Dotaciones de Vestuario;Ibagué;2740980
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);COLOMBIANA DE COMERCIO S.A Y/O ALKOSTO S.A;Grandes Superficies;Bogotá;17714000
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Comercializadora Arturo Calle S.A.S.;Dotaciones de Vestuario;Bucaramanga;14985743
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Comercializadora Arturo Calle S.A.S.;Dotaciones de Vestuario;Cartagena;15192643
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Comercializadora Arturo Calle S.A.S.;Dotaciones de Vestuario;Cúcuta;12990492
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Comercializadora Arturo Calle S.A.S.;Dotaciones de Vestuario;Ibagué;5258983
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Comercializadora Arturo Calle S.A.S.;Dotaciones de Vestuario;Manizales;5448427
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Comercializadora Arturo Calle S.A.S.;Dotaciones de Vestuario;Pasto;19234656
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Comercializadora Arturo Calle S.A.S.;Dotaciones de Vestuario;Pereira;2486077
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Comercializadora Arturo Calle S.A.S.;Dotaciones de Vestuario;Popayán;8745602
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Comercializadora Arturo Calle S.A.S.;Dotaciones de Vestuario;Soledad;7056166
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Comercializadora José Escaf y Cia. Ltda.;Dotaciones de Vestuario;Cartagena;2054090
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Confecciones Páez S.A;Dotaciones de Vestuario;Popayán;4499410
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Confecciones Páez S.A;Dotaciones de Vestuario;Soledad;773562
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);CONSERJES INMOBILIARIOS LTDA;Aseo y Cafetería II;Bogotá;940917931
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Controles Empresariales S.A.S.;Microsoft II;Bogotá;247386960
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Dell Colombia INC;Microsoft II;Bogotá;3321968966
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Dispapeles S.A.S.;Consumibles de Impresión;Bogotá;2765732
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Dispapeles S.A.S.;Derivados del papel carton y corrugado;Bogotá;158910395
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Distracom S.A.;Combustible (Nacional);Bogotá;20000000
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Distracom S.A.;Combustible (Nacional);Cartagena;63000000
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Distracom S.A.;Combustible (Nacional);Dosquebradas;52065000
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Distracom S.A.;Combustible (Nacional);Medellín;47000000
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Distracom S.A.;Combustible (Nacional);Montería;79922800
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Distracom S.A.;Combustible (Nacional);Sincelejo;73267800
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Distracom S.A.;Combustible (Nacional);Yopal;20000000
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Dotación Integral S.A.S;Dotaciones de Vestuario;Ibagué;989100
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Dotación Integral S.A.S;Dotaciones de Vestuario;Manizales;6894599
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Dotación Integral S.A.S;Dotaciones de Vestuario;Palmira;1664000
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Dotación Integral S.A.S;Dotaciones de Vestuario;Pereira;2531396
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Dotación Integral S.A.S;Dotaciones de Vestuario;Popayán;9256689
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Dotación Integral S.A.S;Dotaciones de Vestuario;Soledad;5495000
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);EASYCLEAN G&E S.A.S;Aseo y Cafetería II;Bogotá;4730795702
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);EDS Daniel García Hernandez;Combustible (Nacional);Bucaramanga;40023729
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);ESRI COLOMBIA SAS;ArcGIS;Bogotá;38848126
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);GRUPO EDS AUTOGAS S.A.S.;Combustible (Bogotá) II;Bogotá;523408904
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);IFX Networks Colombia SAS;Nube Privada II;Bogotá;418830488
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Inversav S.A.;Combustible (Nacional);Popayán;85973328
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Jargu S.A. Corredores de seguros;Servicio de Intermediación de Seguros;Bogotá;0
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);La Previsora S.A.;Seguros de Vehículos;Bogotá;1168826970
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);La Previsora S.A.;SOAT II;Bogotá;472295994
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);LADOINSA LABORES DOTACIONES INDUSTRIALES S.A.S;Aseo y Cafetería II;Bogotá;99855305
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Microhard S.A.S.;Adquisición de Computadores y Periféricos;Bogotá;61276800
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Omar Vanegas Nieto;Dotaciones de Vestuario;Bogotá;30818532
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Omar Vanegas Nieto;Dotaciones de Vestuario;Mosquera;18329856
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Oracle Colombia Ltda;Servicios Oracle;Bogotá;1940347010
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Organización Terpel S.A.;Combustible (Bogotá) II;Mosquera;81461960
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Organización Terpel S.A.;Combustible (Bogotá);Mosquera;47000000
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Organización Terpel S.A.;Combustible (Nacional);Armenia;50480000
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Organización Terpel S.A.;Combustible (Nacional);Bucaramanga;37277000
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Organización Terpel S.A.;Combustible (Nacional);Ibagué;64925200
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Organización Terpel S.A.;Combustible (Nacional);Manizales;47000000
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Organización Terpel S.A.;Combustible (Nacional);Neiva;37685000
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Organización Terpel S.A.;Combustible (Nacional);Paipa;19000000
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Organización Terpel S.A.;Combustible (Nacional);Santa Marta;41530420
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Organización Terpel S.A.;Combustible (Nacional);Soledad;24500000
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Organización Terpel S.A.;Combustible (Nacional);Villavicencio;59000000
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);PANAMERICANA FORMAS E IMPRESOS S.A;Servicios de Impresión;Bogotá;219594580
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);PANAMERICANA LIBRERÍA Y PAPELERÍA S.A.;Grandes Superficies;Bogotá;26092873
Ejecutiva;Agricultura y Desarrollo Rural;INSTITUTO COLOMBIANO AGROPECUARIO (ICA);Papelería Los Andes;Consumibles de Impresión;Bogotá;6002630
